datetime_utc,lmp,congestion,loss,energy
2022-01-01 05:00:00+00:00,28.785454545454545,0.0,2.016363636363636,26.76909090909091
2022-01-01 06:00:00+00:00,24.253333333333334,-18.81,0.4025,42.66083333333333
2022-01-01 07:00:00+00:00,26.859166666666667,-16.808333333333334,0.7266666666666666,42.94083333333334
2022-01-01 08:00:00+00:00,22.1925,-9.11,0.9658333333333333,30.336666666666666
2022-01-01 09:00:00+00:00,26.7625,-1.5291666666666668,1.7816666666666665,26.509999999999998
2022-01-01 10:00:00+00:00,27.749166666666667,-7.0441666666666665,1.47,33.32333333333334
2022-01-01 11:00:00+00:00,27.515,-11.441666666666668,1.1541666666666666,37.8025
2022-01-01 12:00:00+00:00,25.0175,-3.0833333333333335,1.6458333333333333,26.455
2022-01-01 13:00:00+00:00,17.5725,-1.3808333333333334,1.2591666666666665,17.694166666666668
2022-01-01 14:00:00+00:00,19.598333333333333,-0.045000000000000005,1.55,18.093333333333334
2022-01-01 15:00:00+00:00,29.485833333333332,0.0,2.4141666666666666,27.071666666666665
2022-01-01 16:00:00+00:00,31.025833333333335,0.0,2.485,28.540833333333335
2022-01-01 17:00:00+00:00,31.483333333333334,0.0,2.495833333333333,28.9875
2022-01-01 18:00:00+00:00,34.05583333333333,0.0,2.6933333333333334,31.362499999999997
2022-01-01 19:00:00+00:00,32.350833333333334,0.0,2.5625,29.788333333333334
2022-01-01 20:00:00+00:00,30.374166666666667,0.0,2.445,27.929166666666667
2022-01-01 21:00:00+00:00,31.058333333333334,0.0,2.4291666666666667,28.629166666666666
2022-01-01 22:00:00+00:00,31.223333333333333,-2.044166666666667,2.4858333333333333,30.781666666666666
2022-01-01 23:00:00+00:00,36.35166666666667,0.0,2.888333333333333,33.46333333333333
2022-01-02 00:00:00+00:00,32.385,0.0,2.5858333333333334,29.799166666666665
2022-01-02 01:00:00+00:00,29.191666666666666,0.0,2.2916666666666665,26.9
2022-01-02 02:00:00+00:00,29.290833333333335,0.0,2.3016666666666667,26.98916666666667
2022-01-02 03:00:00+00:00,29.511666666666667,0.0,2.3066666666666666,27.205
2022-01-02 04:00:00+00:00,27.324166666666667,0.0,1.9400000000000002,25.384166666666665
2022-01-02 05:00:00+00:00,23.15416666666667,0.0,1.5533333333333335,21.600833333333334
2022-01-02 06:00:00+00:00,21.229166666666668,0.0,1.3575,19.87166666666667
2022-01-02 07:00:00+00:00,26.35083333333333,0.0,1.6416666666666666,24.709166666666665
2022-01-02 08:00:00+00:00,24.16333333333333,0.0,1.4958333333333333,22.667499999999997
2022-01-02 09:00:00+00:00,23.125,0.0,1.4441666666666666,21.680833333333332
2022-01-02 10:00:00+00:00,26.849166666666665,0.0,1.71,25.139166666666664
2022-01-02 11:00:00+00:00,28.28916666666667,0.0,1.8308333333333333,26.458333333333336
2022-01-02 12:00:00+00:00,26.173333333333332,0.0,1.8025,24.370833333333334
2022-01-02 13:00:00+00:00,28.729166666666668,0.0,1.9283333333333335,26.800833333333333
2022-01-02 14:00:00+00:00,32.626666666666665,0.0,2.2466666666666666,30.38
