feature,mean_abs_shap
lmp_rmax_6,1.1912070867488849
lmp_rstd_6,1.1699819844555355
lmp_rstd_168,0.9788893039331996
hour_sin,0.4598245498178204
lmp_rmax_168,0.424882530121644
lmp_rmean_168,0.4084476257292525
lmp_rmean_6,0.32705485043683413
lmp_lag_3,0.30816212795496833
lmp_lag_1,0.2689403204721179
lmp_rmax_12,0.222322161088085
lmp_rstd_12,0.2135963608545692
lmp_lag_2,0.20980519662556818
lmp_lag_6,0.1670667972107332
lmp_rmin_168,0.14637521739600035
wind_speed_kmh,0.13776206535075058
hour,0.11586694255895215
temperature_c_lag_24,0.10651575653101525
lmp_lag_48,0.10029825130735151
temperature_c,0.09749605694227573
lmp_rstd_24,0.09145833465526798
hour_cos,0.0910642593862644
lmp_rmean_12,0.0883864781934718
temperature_c_lag_1,0.08470376196852313
relative_humidity,0.08096231422313592
lmp_rmin_6,0.07994926396878221
temp_x_humidity,0.06957508681030958
lmp_lag_12,0.06814882961794723
lmp_lag_168,0.06312145015887269
lmp_rmin_12,0.060400407342740436
month_cos,0.0594193871761431
lmp_rmin_48,0.05197705541948116
lmp_rmax_48,0.04621786909923221
lmp_rmean_48,0.03970587111809032
day_of_week,0.038568286232278655
temp_squared,0.03402813774408855
month_sin,0.029759559999566948
lmp_rmin_24,0.02960302128911681
lmp_lag_24,0.029431305541188685
lmp_rmean_24,0.02724773623555651
precipitation_mm,0.02517032274745428
lmp_rstd_48,0.023076975445625723
lmp_rmax_24,0.017175850792138663
month,0.012403477989305479
is_weekend,0.0001344212394069734
