fold,train_start,train_end,test_start,test_end,clf_accuracy,clf_precision,clf_recall,clf_f1,clf_true_pos,clf_false_pos,clf_true_neg,clf_false_neg,clf_auc_roc,clf_avg_precision,reg_rmse,reg_mae,reg_mape,reg_r2
0,2022-01-08 05:00:00+00:00,2022-07-08 05:00:00+00:00,2022-07-09 05:00:00+00:00,2022-08-09 05:00:00+00:00,0.9503355704697987,0.5483870967741935,0.7906976744186046,0.6476190476190476,34,28,674,9,0.9753196846220101,0.7104151399170964,52.03757047789905,21.58311247403002,15.654235107907343,0.5943902012062963
1,2022-02-08 05:00:00+00:00,2022-08-08 05:00:00+00:00,2022-08-09 05:00:00+00:00,2022-09-09 05:00:00+00:00,0.9583892617449664,0.4642857142857143,0.4482758620689655,0.45614035087719296,13,15,701,16,0.9697553457907917,0.5340526005423546,29.22869923851216,10.629295755472203,8.116433177546577,0.7562693767444513
2,2022-03-08 05:00:00+00:00,2022-09-08 05:00:00+00:00,2022-09-09 05:00:00+00:00,2022-10-09 05:00:00+00:00,0.9611650485436893,0.475,0.7307692307692307,0.5757575757575758,19,21,674,7,0.9712783619258439,0.6147853852350096,15.46779374249486,8.355007117762778,11.70579986362193,0.7635472790655485
3,2022-04-08 05:00:00+00:00,2022-10-08 05:00:00+00:00,2022-10-09 05:00:00+00:00,2022-11-09 05:00:00+00:00,0.9757738896366084,0.6,0.42857142857142855,0.5,9,6,716,12,0.8883392692256957,0.5313204843439449,11.722746020216924,7.580353646887832,20.26125426686234,0.5941295387162662
4,2022-05-08 05:00:00+00:00,2022-11-08 05:00:00+00:00,2022-11-09 05:00:00+00:00,2022-12-09 05:00:00+00:00,0.9639389736477115,0.5333333333333333,0.2962962962962963,0.38095238095238093,8,7,687,19,0.9716084961041734,0.5765288698776163,34.223967730344945,13.224276644037419,17.146190967646074,0.47235571628599793
